,title,link
0,A call to end the media coverage mass shooters want,https://www.ted.com/talks/tom_teves_a_call_to_end_the_media_coverage_mass_shooters_want?language=en
1,Why violence clusters in cities — and how to reduce it,https://www.ted.com/talks/thomas_abt_why_violence_clusters_in_cities_and_how_to_reduce_it?language=en
2,Scenes from a Black trans life,https://www.ted.com/talks/d_l_stewart_scenes_from_a_black_trans_life?language=en
3,Can beauty open our hearts to difficult conversations?,https://www.ted.com/talks/titus_kaphar_can_beauty_open_our_hearts_to_difficult_conversations?language=en
4,The courage to live with radical uncertainty,https://www.ted.com/talks/shekinah_elmore_the_courage_to_live_with_radical_uncertainty?language=en
5,What foods did your ancestors love?,https://www.ted.com/talks/aparna_pallavi_what_foods_did_your_ancestors_love?language=en
6,"How women will lead us to freedom, justice and peace",https://www.ted.com/talks/h_e_ellen_johnson_sirleaf_how_women_will_lead_us_to_freedom_justice_and_peace?language=en
7,The beauty and complexity of finding common ground,https://www.ted.com/talks/matt_trombley_the_beauty_and_complexity_of_finding_common_ground?language=en
8,How Dolly Parton led me to an epiphany,https://www.ted.com/talks/jad_abumrad_how_dolly_parton_led_me_to_an_epiphany?language=en
9,Why is colonialism (still) romanticized?,https://www.ted.com/talks/farish_ahmad_noor_why_is_colonialism_still_romanticized?language=en
10,The aesthetics of survival,https://www.ted.com/talks/hari_nef_the_aesthetics_of_survival?language=en
11,The myths of gay adoption,https://www.ted.com/talks/lynne_elvins_the_myths_of_gay_adoption?language=en
12,How racial bias works — and how to disrupt it,https://www.ted.com/talks/jennifer_l_eberhardt_how_racial_bias_works_and_how_to_disrupt_it?language=en
13,A dose of reality about generic drugs,https://www.ted.com/talks/katherine_eban_a_dose_of_reality_about_generic_drugs?language=en
14,3 secrets of resilient people,https://www.ted.com/talks/lucy_hone_3_secrets_of_resilient_people?language=en
15,How to turn your dissatisfaction into action,https://www.ted.com/talks/yvonne_aki_sawyerr_how_to_turn_your_dissatisfaction_into_action?language=en
16,How flags unite (and divide) us,https://www.ted.com/talks/michael_green_how_flags_unite_and_divide_us?language=en
17,5 steps to remove yourself from drama at work,https://www.ted.com/talks/anastasia_penright_5_steps_to_remove_yourself_from_drama_at_work?language=en
18,"The link between climate change, health and poverty",https://www.ted.com/talks/cheryl_holder_the_link_between_climate_change_health_and_poverty?language=en
19,How to quickly scale up contact tracing across the US,https://www.ted.com/talks/joia_mukherjee_how_to_quickly_scale_up_contact_tracing_across_the_us?language=en
20,My story of love and loss as a transracial adoptee,https://www.ted.com/talks/sara_jones_my_story_of_love_and_loss_as_a_transracial_adoptee?language=en
21,How to raise kids who can overcome anxiety,https://www.ted.com/talks/anne_marie_albano_how_to_raise_kids_who_can_overcome_anxiety?language=en
22,"A COVID-19 ""exit"" strategy to end lockdown and reopen the economy",https://www.ted.com/talks/uri_alon_a_covid_19_exit_strategy_to_end_lockdown_and_reopen_the_economy?language=en
23,Let's make the world wild again,https://www.ted.com/talks/kristine_tompkins_let_s_make_the_world_wild_again?language=en
24,How to meaningfully reconnect with those who have dementia,https://www.ted.com/talks/anne_basting_how_to_meaningfully_reconnect_with_those_who_have_dementia?language=en
25,Are we interrupting the kinky sex lives of fish?,https://www.ted.com/talks/marah_j_hardt_are_we_interrupting_the_kinky_sex_lives_of_fish?language=en
26,Can we edit memories?,https://www.ted.com/talks/amy_milton_can_we_edit_memories?language=en
27,"To overcome challenges, stop comparing yourself to others",https://www.ted.com/talks/dean_furness_to_overcome_challenges_stop_comparing_yourself_to_others?language=en
28,The language of being human,https://www.ted.com/talks/poet_ali_the_language_of_being_human?language=en
29,Restoring human dignity at the US southern border,https://www.ted.com/talks/norma_pimentel_restoring_human_dignity_at_the_us_southern_border?language=en
30,The US is addicted to incarceration. Here's how to break the cycle,https://www.ted.com/talks/robin_steinberg_and_manoush_zomorodi_the_us_is_addicted_to_incarceration_here_s_how_to_break_the_cycle?language=en
31,What you need to know about face surveillance,https://www.ted.com/talks/kade_crockford_what_you_need_to_know_about_face_surveillance?language=en
32,"The injustice of ""policing for profit"" — and how to end it",https://www.ted.com/talks/dick_m_carpenter_ii_the_injustice_of_policing_for_profit_and_how_to_end_it?language=en
33,A global pandemic calls for global solutions,https://www.ted.com/talks/larry_brilliant_a_global_pandemic_calls_for_global_solutions?language=en
34,The benefits of expressing your emotions (constructively),https://www.ted.com/talks/arturs_miksons_the_benefits_of_expressing_your_emotions_constructively?language=en
35,How to shift your mindset and choose your future,https://www.ted.com/talks/tom_rivett_carnac_how_to_shift_your_mindset_and_choose_your_future?language=en
36,An evolutionary perspective on human health and disease,https://www.ted.com/talks/lara_durgavich_an_evolutionary_perspective_on_human_health_and_disease?language=en
37,"How to co-parent as allies, not adversaries",https://www.ted.com/talks/ebony_roberts_and_shaka_senghor_how_to_co_parent_as_allies_not_adversaries?language=en
38,Racism has a cost for everyone,https://www.ted.com/talks/heather_c_mcghee_racism_has_a_cost_for_everyone?language=en
39,The galactic recipe for a living planet,https://www.ted.com/talks/karin_oberg_the_galactic_recipe_for_a_living_planet?language=en
40,A history of Indigenous languages — and how to revitalize them,https://www.ted.com/talks/lindsay_morcom_a_history_of_indigenous_languages_and_how_to_revitalize_them?language=en
41,How forgiveness can create a more just legal system,https://www.ted.com/talks/martha_minow_how_forgiveness_can_create_a_more_just_legal_system?language=en
42,Indigenous knowledge meets science to solve climate change,https://www.ted.com/talks/hindou_oumarou_ibrahim_indigenous_knowledge_meets_science_to_solve_climate_change?language=en
43,"The weird history of the ""sex chromosomes""",https://www.ted.com/talks/molly_webster_the_weird_history_of_the_sex_chromosomes?language=en
44,Why COVID-19 is hitting us now — and how to prepare for the next outbreak,https://www.ted.com/talks/alanna_shaikh_why_covid_19_is_hitting_us_now_and_how_to_prepare_for_the_next_outbreak?language=en
45,"The beautiful, mysterious science of how you hear",https://www.ted.com/talks/jim_hudspeth_the_beautiful_mysterious_science_of_how_you_hear?language=en
46,The dangers of a noisy ocean — and how we can quiet it down,https://www.ted.com/talks/nicola_jones_the_dangers_of_a_noisy_ocean_and_how_we_can_quiet_it_down?language=en
47,How menopause affects the brain,https://www.ted.com/talks/lisa_mosconi_how_menopause_affects_the_brain?language=en
48,How women are revolutionizing Rwanda,https://www.ted.com/talks/agnes_binagwaho_how_women_are_revolutionizing_rwanda?language=en
49,What investigating neural pathways can reveal about mental health,https://www.ted.com/talks/kay_m_tye_what_investigating_neural_pathways_can_reveal_about_mental_health?language=en
50,How to turn climate anxiety into action,https://www.ted.com/talks/renee_lertzman_how_to_turn_climate_anxiety_into_action?language=en
51,What you need to know about stalkerware,https://www.ted.com/talks/eva_galperin_what_you_need_to_know_about_stalkerware?language=en
52,How technology has changed what it's like to be deaf,https://www.ted.com/talks/rebecca_knill_how_technology_has_changed_what_it_s_like_to_be_deaf?language=en
53,How to design gender bias out of your workplace,https://www.ted.com/talks/sara_sanford_how_to_design_gender_bias_out_of_your_workplace?language=en
54,The real story of the Black Panther Party,https://www.ted.com/talks/curtis_austin_the_real_story_of_the_black_panther_party?language=en
55,Why you should get paid for your data,https://www.ted.com/talks/jennifer_zhu_scott_why_you_should_get_paid_for_your_data?language=en
56,This is your brain on air pollution,https://www.ted.com/talks/maria_neira_this_is_your_brain_on_air_pollution?language=en
57,For the love of fangirls,https://www.ted.com/talks/yve_blake_for_the_love_of_fangirls?language=en
58,How symbols and brands shape our humanity,https://www.ted.com/talks/debbie_millman_how_symbols_and_brands_shape_our_humanity?language=en
59,What a nun can teach a scientist about ecology,https://www.ted.com/talks/victoria_gill_what_a_nun_can_teach_a_scientist_about_ecology?language=en
60,How teachers can help students navigate trauma,https://www.ted.com/talks/lisa_godwin_how_teachers_can_help_students_navigate_trauma?language=en
61,"How online marketplaces can help local economies, not hurt them",https://www.ted.com/talks/amane_dannouni_how_online_marketplaces_can_help_local_economies_not_hurt_them?language=en
62,Why immigration prisons aren't the answer,https://www.ted.com/talks/cesar_cuauhtemoc_garcia_hernandez_why_immigration_prisons_aren_t_the_answer?language=en
63,How bees can keep the peace between elephants and humans,https://www.ted.com/talks/lucy_king_how_bees_can_keep_the_peace_between_elephants_and_humans?language=en
64,What if the poor were part of city planning?,https://www.ted.com/talks/smruti_jukur_johari_what_if_the_poor_were_part_of_city_planning?language=en
65,Tiny robots with giant potential,https://www.ted.com/talks/paul_mceuen_and_marc_miskin_tiny_robots_with_giant_potential?language=en
66,Dictators hate political cartoons — so I keep drawing them,https://www.ted.com/talks/rayma_suprani_dictators_hate_political_cartoons_so_i_keep_drawing_them?language=en
67,How humans and AI can work together to create better businesses,https://www.ted.com/talks/sylvain_duranton_how_humans_and_ai_can_work_together_to_create_better_businesses?language=en
68,What ocean microbes reveal about the changing climate,https://www.ted.com/talks/angelicque_white_what_ocean_microbes_reveal_about_the_changing_climate?language=en
69,The unpaid work that GDP ignores — and why it really counts,https://www.ted.com/talks/marilyn_waring_the_unpaid_work_that_gdp_ignores_and_why_it_really_counts?language=en
70,How designing brand-new enzymes could change the world,https://www.ted.com/talks/adam_garske_how_designing_brand_new_enzymes_could_change_the_world?language=en
71,A path to security for the world's deadliest countries,https://www.ted.com/talks/rachel_kleinfeld_a_path_to_security_for_the_world_s_deadliest_countries?language=en
72,Why are drug prices so high? Investigating the outdated US patent system,https://www.ted.com/talks/priti_krishtel_why_are_drug_prices_so_high_investigating_the_outdated_us_patent_system?language=en
73,How supply chain transparency can help the planet,https://www.ted.com/talks/markus_mutz_how_supply_chain_transparency_can_help_the_planet?language=en
74,"Why ""biofabrication"" is the next industrial revolution",https://www.ted.com/talks/suzanne_lee_why_biofabrication_is_the_next_industrial_revolution?language=en
75,Climate change will displace millions. Here's how we prepare,https://www.ted.com/talks/colette_pichon_battle_climate_change_will_displace_millions_here_s_how_we_prepare?language=en
76,What a digital government looks like,https://www.ted.com/talks/anna_piperal_what_a_digital_government_looks_like?language=en
77,The search for dark matter — and what we've found so far,https://www.ted.com/talks/risa_wechsler_the_search_for_dark_matter_and_what_we_ve_found_so_far?language=en
78,"The past, present and future of nicotine addiction",https://www.ted.com/talks/mitch_zeller_the_past_present_and_future_of_nicotine_addiction?language=en
79,Dangerous times call for dangerous women,https://www.ted.com/talks/pat_mitchell_dangerous_times_call_for_dangerous_women?language=en
80,Why winning doesn't always equal success,https://www.ted.com/talks/valorie_kondos_field_why_winning_doesn_t_always_equal_success?language=en
