,title,link
49,The urgency of intersectionality,https://www.ted.com/talks/kimberle_crenshaw_the_urgency_of_intersectionality?language=en
50,Can a divided America heal?,https://www.ted.com/talks/jonathan_haidt_can_a_divided_america_heal?language=en
51,It's time for women to run for office,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=en
52,Technology hasn't changed love. Here's why,https://www.ted.com/talks/helen_fisher_technology_hasn_t_changed_love_here_s_why?language=en
53,The risky politics of progress,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=en
54,How the blockchain is changing money and business,https://www.ted.com/talks/don_tapscott_how_the_blockchain_is_changing_money_and_business?language=en
55,How trees talk to each other,https://www.ted.com/talks/suzanne_simard_how_trees_talk_to_each_other?language=en
56,An entertainment icon on living a life of meaning,https://www.ted.com/talks/norman_lear_an_entertainment_icon_on_living_a_life_of_meaning?language=en
57,My journey from Marine to actor,https://www.ted.com/talks/adam_driver_my_journey_from_marine_to_actor?language=en
58,The mind behind Linux,https://www.ted.com/talks/linus_torvalds_the_mind_behind_linux?language=en
59,How megacities are changing the map of the world,https://www.ted.com/talks/parag_khanna_how_megacities_are_changing_the_map_of_the_world?language=en
60,A futuristic vision of the age of holograms,https://www.ted.com/talks/alex_kipman_a_futuristic_vision_of_the_age_of_holograms?language=en
61,The gospel of doubt,https://www.ted.com/talks/casey_gerald_the_gospel_of_doubt?language=en
62,This country isn't just carbon neutral — it's carbon negative,https://www.ted.com/talks/tshering_tobgay_this_country_isn_t_just_carbon_neutral_it_s_carbon_negative?language=en
63,Uber's plan to get more people into fewer cars,https://www.ted.com/talks/travis_kalanick_uber_s_plan_to_get_more_people_into_fewer_cars?language=en
64,Our refugee system is failing. Here's how we can fix it,https://www.ted.com/talks/alexander_betts_our_refugee_system_is_failing_here_s_how_we_can_fix_it?language=en
65,The case for optimism on climate change,https://www.ted.com/talks/al_gore_the_case_for_optimism_on_climate_change?language=en
66,My year of saying yes to everything,https://www.ted.com/talks/shonda_rhimes_my_year_of_saying_yes_to_everything?language=en
67,Capitalism will eat democracy — unless we speak up,https://www.ted.com/talks/yanis_varoufakis_capitalism_will_eat_democracy_unless_we_speak_up?language=en
68,Refugees have the right to be protected,https://www.ted.com/talks/antonio_guterres_refugees_have_the_right_to_be_protected?language=en
69,What are animals thinking and feeling?,https://www.ted.com/talks/carl_safina_what_are_animals_thinking_and_feeling?language=en
70,My country will be underwater soon — unless we work together,https://www.ted.com/talks/anote_tong_my_country_will_be_underwater_soon_unless_we_work_together?language=en
