,title,link
49,What happens when a Silicon Valley technologist works for the government,https://www.ted.com/talks/matt_cutts_what_happens_when_a_silicon_valley_technologist_works_for_the_government?language=en
50,The gender-fluid history of the Philippines,https://www.ted.com/talks/france_villarta_the_gender_fluid_history_of_the_philippines?language=en
51,How a miniaturized atomic clock could revolutionize space exploration,https://www.ted.com/talks/jill_seubert_how_a_miniaturized_atomic_clock_could_revolutionize_space_exploration?language=en
52,Art that reveals how technology frames reality,https://www.ted.com/talks/jiabao_li_art_that_reveals_how_technology_frames_reality?language=en
53,What we do (and don't) know about the coronavirus,https://www.ted.com/talks/david_heymann_what_we_do_and_don_t_know_about_the_coronavirus?language=en
54,"When local news dies, so does democracy",https://www.ted.com/talks/chuck_plunkett_when_local_news_dies_so_does_democracy?language=en
55,"The Tower of Epiphany | Think Like A Coder, Ep 7",https://www.ted.com/talks/alex_rosenthal_the_tower_of_epiphany_think_like_a_coder_ep_7?language=en
56,How bumble bees inspired a network of tiny museums,https://www.ted.com/talks/amanda_schochet_how_bumble_bees_inspired_a_network_of_tiny_museums?language=en
57,3 ways to uproot a culture of corruption,https://www.ted.com/talks/wanjira_mathai_3_ways_to_uproot_a_culture_of_corruption?language=en
58,Management lessons from Chinese business and philosophy,https://www.ted.com/talks/fang_ruan_management_lessons_from_chinese_business_and_philosophy?language=en
59,What if a single human right could change the world?,https://www.ted.com/talks/kristen_wenz_what_if_a_single_human_right_could_change_the_world?language=en
60,How volumetric video brings a new dimension to filmmaking,https://www.ted.com/talks/diego_prilusky_how_volumetric_video_brings_a_new_dimension_to_filmmaking?language=en
61,"The beautiful, hard work of co-parenting",https://www.ted.com/talks/joel_leon_the_beautiful_hard_work_of_co_parenting?language=en
62,A brief tour of the last 4 billion years (dinosaurs not included),https://www.ted.com/talks/lauren_sallan_a_brief_tour_of_the_last_4_billion_years_dinosaurs_not_included?language=en
63,Online predators spread fake porn of me. Here's how I fought back,https://www.ted.com/talks/noelle_martin_online_predators_spread_fake_porn_of_me_here_s_how_i_fought_back?language=en
64,Imaginative sculptures that explore how we perceive reality,https://www.ted.com/talks/alicia_eggert_imaginative_sculptures_that_explore_how_we_perceive_reality?language=en
