,title,link
0,How do our brains process speech?,https://www.ted.com/talks/gareth_gaskell_how_do_our_brains_process_speech?language=en
1,How caffeine and alcohol affect your sleep,https://www.ted.com/talks/matt_walker_how_caffeine_and_alcohol_affect_your_sleep?language=en
2,"The myth of Jason, Medea, and the Golden Fleece",https://www.ted.com/talks/iseult_gillespie_the_myth_of_jason_medea_and_the_golden_fleece?language=en
3,The rise and fall of the Celtic warriors,https://www.ted.com/talks/philip_freeman_the_rise_and_fall_of_the_celtic_warriors?language=en
4,The Egyptian myth of the death of Osiris,https://www.ted.com/talks/alex_gendler_the_egyptian_myth_of_the_death_of_osiris?language=en
5,A walk through the stages of sleep,https://www.ted.com/talks/matt_walker_a_walk_through_the_stages_of_sleep?language=en
6,The race to decode a mysterious language,https://www.ted.com/talks/susan_lupack_the_race_to_decode_a_mysterious_language?language=en
7,The invisible life hidden beneath Antarctica's ice,https://www.ted.com/talks/ariel_waldman_the_invisible_life_hidden_beneath_antarctica_s_ice?language=en
8,What makes volcanoes erupt?,https://www.ted.com/talks/steven_anderson_what_makes_volcanoes_erupt?language=en
9,What happened when the United States tried to ban alcohol,https://www.ted.com/talks/rod_phillips_what_happened_when_the_united_states_tried_to_ban_alcohol?language=en
10,The tale of the boy who tricked the Devil,https://www.ted.com/talks/iseult_gillespie_the_tale_of_the_boy_who_tricked_the_devil?language=en
11,The greatest mathematician that never lived,https://www.ted.com/talks/pratik_aghor_the_greatest_mathematician_that_never_lived?language=en
12,Can you solve the Ragnarok riddle?,https://www.ted.com/talks/dan_finkel_can_you_solve_the_ragnarok_riddle?language=en
13,What do all languages have in common?,https://www.ted.com/talks/cameron_morin_what_do_all_languages_have_in_common?language=en
14,First person vs. Second person vs. Third person,https://www.ted.com/talks/rebekah_bergman_first_person_vs_second_person_vs_third_person?language=en
15,A day in the life of a teenage samurai,https://www.ted.com/talks/constantine_n_vaporis_a_day_in_the_life_of_a_teenage_samurai?language=en
16,A path to higher education and employment for refugees,https://www.ted.com/talks/chrystina_russell_a_path_to_higher_education_and_employment_for_refugees?language=en
17,What yoga does to your body and brain,https://www.ted.com/talks/krishna_sudhir_what_yoga_does_to_your_body_and_brain?language=en
18,Can steroids save your life?,https://www.ted.com/talks/anees_bahji_can_steroids_save_your_life?language=en
19,How fast can a vaccine be made?,https://www.ted.com/talks/dan_kwartler_how_fast_can_a_vaccine_be_made?language=en
20,Which voting system is the best?,https://www.ted.com/talks/alex_gendler_which_voting_system_is_the_best?language=en
21,How to see more and care less: The art of Georgia O'Keeffe,https://www.ted.com/talks/iseult_gillespie_how_to_see_more_and_care_less_the_art_of_georgia_o_keeffe?language=en
22,A day in the life of a Peruvian shaman,https://www.ted.com/talks/gabriel_prieto_a_day_in_the_life_of_a_peruvian_shaman?language=en
23,When is a pandemic over?,https://www.ted.com/talks/alex_rosenthal_when_is_a_pandemic_over?language=en
24,What is phantom traffic and why is it ruining your life?,https://www.ted.com/talks/benjamin_seibold_what_is_phantom_traffic_and_why_is_it_ruining_your_life?language=en
25,"Why should you read ""Moby Dick""?",https://www.ted.com/talks/sascha_morrell_why_should_you_read_moby_dick?language=en
26,How do ventilators work?,https://www.ted.com/talks/alex_gendler_how_do_ventilators_work?language=en
27,Can you solve the world's most evil wizard riddle?,https://www.ted.com/talks/dan_finkel_can_you_solve_the_world_s_most_evil_wizard_riddle?language=en
28,How do you know if you have a virus?,https://www.ted.com/talks/cella_wright_how_do_you_know_if_you_have_a_virus?language=en
29,What is a coronavirus?,https://www.ted.com/talks/elizabeth_cox_what_is_a_coronavirus?language=en
30,A day in the life of an Aztec midwife,https://www.ted.com/talks/kay_read_a_day_in_the_life_of_an_aztec_midwife?language=en
31,A virus detection network to stop the next pandemic,https://www.ted.com/talks/pardis_sabeti_and_christian_happi_a_virus_detection_network_to_stop_the_next_pandemic?language=en
32,Which is better: Soap or hand sanitizer?,https://www.ted.com/talks/alex_rosenthal_and_pall_thordarson_which_is_better_soap_or_hand_sanitizer?language=en
33,What really happened during the Salem Witch Trials,https://www.ted.com/talks/brian_a_pavlac_what_really_happened_during_the_salem_witch_trials?language=en
34,This sea creature breathes through its butt,https://www.ted.com/talks/cella_wright_this_sea_creature_breathes_through_its_butt?language=en
35,The electrifying speeches of Sojourner Truth,https://www.ted.com/talks/daina_ramey_berry_the_electrifying_speeches_of_sojourner_truth?language=en
36,The dark history of IQ tests,https://www.ted.com/talks/stefan_c_dombrowski_the_dark_history_of_iq_tests?language=en
37,What happens if you cut down all of a city's trees?,https://www.ted.com/talks/stefan_al_what_happens_if_you_cut_down_all_of_a_city_s_trees?language=en
38,The wildly complex anatomy of a sneaker,https://www.ted.com/talks/angel_chang_the_wildly_complex_anatomy_of_a_sneaker?language=en
39,What's the point(e) of ballet?,https://www.ted.com/talks/ming_luke_what_s_the_point_e_of_ballet?language=en
40,The bug that poops candy,https://www.ted.com/talks/george_zaidan_the_bug_that_poops_candy?language=en
41,The hidden life of Rosa Parks,https://www.ted.com/talks/riche_d_richardson_the_hidden_life_of_rosa_parks?language=en
42,How does alcohol make you drunk?,https://www.ted.com/talks/judy_grisel_how_does_alcohol_make_you_drunk?language=en
43,How the Monkey King escaped the underworld,https://www.ted.com/talks/shunan_teng_how_the_monkey_king_escaped_the_underworld?language=en
44,The art forger who tricked the Nazis,https://www.ted.com/talks/noah_charney_the_art_forger_who_tricked_the_nazis?language=en
45,Can you solve the sea monster riddle?,https://www.ted.com/talks/daniel_finkel_can_you_solve_the_sea_monster_riddle?language=en
46,History vs. Sigmund Freud,https://www.ted.com/talks/todd_dufresne_history_vs_sigmund_freud?language=en
47,How the world's longest underwater tunnel was built,https://www.ted.com/talks/alex_gendler_how_the_world_s_longest_underwater_tunnel_was_built?language=en
48,What is schizophrenia?,https://www.ted.com/talks/anees_bahji_what_is_schizophrenia?language=en
49,Why isn't the Netherlands underwater?,https://www.ted.com/talks/stefan_al_why_isn_t_the_netherlands_underwater?language=en
50,Who was the world's first author?,https://www.ted.com/talks/soraya_field_fiorio_who_was_the_world_s_first_author?language=en
51,The imaginary king who changed the real world,https://www.ted.com/talks/matteo_salvadore_the_imaginary_king_who_changed_the_real_world?language=en
52,How one scientist took on the chemical industry,https://www.ted.com/talks/mark_lytle_how_one_scientist_took_on_the_chemical_industry?language=en
53,How can we control the coronavirus pandemic?,https://www.ted.com/talks/adam_kucharski_how_can_we_control_the_coronavirus_pandemic?language=en
54,How can we solve the antibiotic resistance crisis?,https://www.ted.com/talks/gerry_wright_how_can_we_solve_the_antibiotic_resistance_crisis?language=en
55,The tale of the doctor who defied Death,https://www.ted.com/talks/iseult_gillespie_the_tale_of_the_doctor_who_defied_death?language=en
56,The meaning of life according to Simone de Beauvoir,https://www.ted.com/talks/iseult_gillespie_the_meaning_of_life_according_to_simone_de_beauvoir?language=en
57,"What's a squillo, and why do opera singers need it?",https://www.ted.com/talks/ming_luke_what_s_a_squillo_and_why_do_opera_singers_need_it?language=en
58,NASA's first software engineer: Margaret Hamilton,https://www.ted.com/talks/matt_porter_and_margaret_hamilton_nasa_s_first_software_engineer_margaret_hamilton?language=en
59,Can you solve the death race riddle?,https://www.ted.com/talks/alex_gendler_can_you_solve_the_death_race_riddle?language=en
60,The Egyptian myth of Isis and the seven scorpions,https://www.ted.com/talks/alex_gendler_the_egyptian_myth_of_isis_and_the_seven_scorpions?language=en
61,Why do people fear the wrong things?,https://www.ted.com/talks/gerd_gigerenzer_why_do_people_fear_the_wrong_things?language=en
62,"Vultures: The acid-puking, plague-busting heroes of the ecosystem",https://www.ted.com/talks/kenny_coogan_vultures_the_acid_puking_plague_busting_heroes_of_the_ecosystem?language=en
63,The secret messages of Viking runestones,https://www.ted.com/talks/jesse_byock_the_secret_messages_of_viking_runestones?language=en
64,How do blood transfusions work?,https://www.ted.com/talks/bill_schutt_how_do_blood_transfusions_work?language=en
65,How surfboards connect us to nature,https://www.ted.com/talks/yves_behar_how_surfboards_connect_us_to_nature?language=en
66,The power of the Afro pick,https://www.ted.com/talks/jon_gray_the_power_of_the_afro_pick?language=en
67,Why books are here to stay,https://www.ted.com/talks/chip_kidd_why_books_are_here_to_stay?language=en
68,Why 1.5 billion people eat with chopsticks,https://www.ted.com/talks/jennifer_8_lee_why_1_5_billion_people_eat_with_chopsticks?language=en
69,The function and fashion of eyeglasses,https://www.ted.com/talks/debbie_millman_the_function_and_fashion_of_eyeglasses?language=en
70,How the compass unlocked the world,https://www.ted.com/talks/david_biello_how_the_compass_unlocked_the_world?language=en
71,The evolution of the coffee cup lid,https://www.ted.com/talks/a_j_jacobs_the_evolution_of_the_coffee_cup_lid?language=en
72,Why pasta comes in all shapes and sizes,https://www.ted.com/talks/paola_antonelli_why_pasta_comes_in_all_shapes_and_sizes?language=en
73,"The legend of Annapurna, Hindu goddess of nourishment",https://www.ted.com/talks/antara_raychaudhuri_and_iseult_gillespie_the_legend_of_annapurna_hindu_goddess_of_nourishment?language=en
74,Epic Engineering: Building the Brooklyn Bridge,https://www.ted.com/talks/alex_gendler_epic_engineering_building_the_brooklyn_bridge?language=en
75,The accident that changed the world,https://www.ted.com/talks/allison_ramsey_and_mary_staicu_the_accident_that_changed_the_world?language=en
76,5 ways to create stronger connections,https://www.ted.com/talks/robert_reffkin_5_ways_to_create_stronger_connections?language=en
77,How to know if it's time to change careers,https://www.ted.com/talks/chieh_huang_how_to_know_if_it_s_time_to_change_careers?language=en
78,3 things new parents should consider before going back to work,https://www.ted.com/talks/emily_oster_3_things_new_parents_should_consider_before_going_back_to_work?language=en
79,6 ways to improve your relationship with money,https://www.ted.com/talks/thasunda_duckett_6_ways_to_improve_your_relationship_with_money?language=en
80,The secret to giving great feedback,https://www.ted.com/talks/leeann_renninger_the_secret_to_giving_great_feedback?language=en
81,How to embrace emotions at work,https://www.ted.com/talks/liz_fosslien_how_to_embrace_emotions_at_work?language=en
82,How burnout makes us less creative,https://www.ted.com/talks/rahaf_harfoush_how_burnout_makes_us_less_creative?language=en
